kingdom,class,total
Animalia,Actinopterygii,66
Animalia,Amphibia,50
Animalia,Anthozoa,1
Animalia,Arachnida,5
Animalia,Asteroidea,2
Animalia,Aves,185
Animalia,Bivalvia,2
Plantae,Bryopsida,1
Animalia,Cephalaspidomorphi,1
Animalia,Chondrichthyes,14
Plantae,Cycadatae,15
Animalia,Gastropoda,21
Animalia,Insecta,27
Plantae,Liliopsida,322
Plantae,Lycopodopiatae,10
Plantae,Magnoliopsida,1063
Animalia,Malacostraca,37
Animalia,Mammalia,149
Animalia,Oligochaeta,3
Animalia,Onychophora (no class),1
Plantae,Pinatae,5
Plantae,Polypodiatae,31
Plantae,Psilotatae,2
Animalia,Remipedia,1
Animalia,Reptilia,88
Plantae,Rhodophyceae,1
Animalia,Sarcopterygii,1
Plantae,Streptophyta (no class),2
