first_name,last_name,year_of_birth,name_raw,party,electorate,state,years_in_office,approx_age
Basem,Abdo,NA,"Basem Abdo
(born ?)",Labor,Calwell,Vic,2025–current,NA
Anthony,Albanese,1963,"Anthony Albanese
(born 1963)",Labor,Grayndler,NSW,1996–current,62
Mary,Aldred,NA,"Mary Aldred
(born ?)",Liberal,Monash,Vic,2025–current,NA
Anne,Aly,1967,"Anne Aly
(born 1967)",Labor,Cowan,WA,2016–current,58
Ash,Ambihaipahar,NA,"Ash Ambihaipahar
(born ?)",Labor,Barton,NSW,2025–current,NA
David,Batt,NA,"David Batt
(born ?)",National[a],Hinkler,Qld,2025–current,NA
Angie,Bell,1968,"Angie Bell
(born 1968)",Liberal[b],Moncrieff,Qld,2019–current,57
Jodie,Belyea,NA,"Jodie Belyea
(born ?)",Labor,Dunkley,Vic,2024–current,NA
Carol,Berry,NA,"Carol Berry
(born ?)",Labor,Whitlam,NSW,2025–current,NA
Sam,Birrell,1975,"Sam Birrell
(born 1975)",National,Nicholls,Vic,2022–current,50
Nicolette,Boele,1970,"Nicolette Boele
(born 1970)",Independent,Bradfield,NSW,2025–current,55
Chris,Bowen,1973,"Chris Bowen
(born 1973)",Labor,McMahon,NSW,2004–current,52
Colin,Boyce,1962,"Colin Boyce
(born 1962)",National[a],Flynn,Qld,2022–current,63
Jo,Briskey,NA,"Jo Briskey
(born ?)",Labor,Maribyrnong,Vic,2025–current,NA
Scott,Buchholz,1968,"Scott Buchholz
(born 1968)",Liberal[b],Wright,Qld,2010–current,57
Tony,Burke,1969,"Tony Burke
(born 1969)",Labor,Watson,NSW,2004–current,56
Matt,Burnell,1978,"Matt Burnell
(born 1978)",Labor,Spence,SA,2022–current,47
Josh,Burns,1987,"Josh Burns
(born 1987)",Labor,Macnamara,Vic,2019–current,38
Mark,Butler,1970,"Mark Butler
(born 1970)",Labor,Hindmarsh,SA,2007–current,55
Alison,Byrnes,1974,"Alison Byrnes
(born 1974)",Labor,Cunningham,NSW,2022–current,51
Cameron,Caldwell,1979,"Cameron Caldwell
(born 1979)",Liberal[b],Fadden,Qld,2023–current,46
