title,Seen,Type,Rating,Country,Where,Genre,Word
A Frown Gone Mad,y,Narrative,3,Lebanon,Dendy Newtown,Documentary,Confronting
Agatha’s Almanac,y,Documentary,4,Canada,State Theatre,Documentary,sweet
Blue Moon,y,Narrative,3,USA,State Theatre,Drama,mannered
Deaf,y,Narrative,4,Spain,State Theatre,Drama,revelation
DJ Ahmet,y,Narrative,4.5,North Macedonia,State Theatre,Coming of Age,uplifting
How to Build a Library,y,Documentary,3.5,Kenya,State Library,Documentary,inspirational
It Was Just An Accident,y,Narrative,5,Iran,Dendy Newtown,Drama,disturbing
Marlon Williams: Two Worlds – Ngā Ao E Rua,y,Documentary,3.5,New Zealand,Ritz,Documentary,soul
Nineteen,y,Narrative,3.5,Italy,Dendy Newtown,Coming of Age,erratic
One To One: John & Yoko,y,Documentary,3.5,USA,Palace Central,Documentary,revealing
Orwell: 2+2=5,y,Documentary,3,United Kingdom,State Theatre,Documentary,predictable
"Pooja, Sir",y,Narrative,4,Nepal,George Street Event,Drama,suprising
"Sorry, Baby",y,Narrative,3.5,USA,State Theatre,Drama,still
Spirit World,y,Narrative,3,Japan,State Theatre,Drama,dreamy
My Father’s Shadow,y,Narrative,5,Nigeria,State Theatre,Drama,beautiful
The End,y,Narrative,4,USA,Ritz,Musical,funny
The Friend,y,Narrative,2.5,USA,Ritz,Drama,disappointing
The Golden Spurtle,y,Documentary,5,Scotland,State Library,Documentary,warm
The Golden Thread,y,Documentary,4,India,George Street Event,Documentary,loud
The Mastermind,y,Narrative,4,USA,State Theatre,Drama,clever
Speak.,y,Documentary,3,USA,State Library,Documentary,overachieving
The Mother And The Bear,y,Narrative,4,Canada,State Theatre,Comedy,screwball
Vie Privée,y,Narrative,4,France,Ritz,Drama,stylish
The Wolves Always Come At Night,y,Documentary,4,Mongolia,State Theatre,Scripted Documentary,magical
What Does That Nature Say to You,y,Narrative,3,South Korea,Dendy Newtown,Drama,discursive
