Type,Title,Details,PP_UK,PP_AU,tracks,length,,,,,,,,,,,,,,,,,,,,
Single,West End Girls (original recording),1-Apr-84,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,One More Chance,1-Jun-84,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Opportunities (Let's Make Lots of Money) (original mix),1-Jul-85,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,West End Girls (re-recording),1-Oct-85,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Love Comes Quickly,24-Feb-86,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Studio Albums,Please,24-Mar-86,3,10,11,44:02:00,,,,,,,,,,,,,,,,,,,,
Single,Opportunities (Let's Make Lots of Money) (remix),1-May-86,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Suburbia,22-Sep-86,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Paninaro,22-Sep-86,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Remix albums,Disco,17-Nov-86,15,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,It's a Sin,15-Jun-87,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,What Have I Done to Deserve This? (with Dusty Springfield),10-Aug-87,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Studio Albums,Actually,7-Sep-87,2,16,10,37:02:00,,,,,,,,,,,,,,,,,,,,
Single,Rent,12-Oct-87,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Always on My Mind,30-Nov-87,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Heart,21-Mar-88,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Domino Dancing,12-Sep-88,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Studio Albums,Introspective,10-Oct-88,2,44,6,48:03:00,,,,,,,,,,,,,,,,,,,,
Single,Left to My Own Devices,14-Nov-88,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,It's Alright,26-Jun-89,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
EP,In Depth,5-Jul-89,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,So Hard,24-Sep-90,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Studio Albums,Behaviour,22-Oct-90,2,27,10,49:01:00,,,,,,,,,,,,,,,,,,,,
Single,Being Boring,12-Nov-90,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,How Can You Expect to Be Taken Seriously?,11-Mar-91,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Where the Streets Have No Name (I Can't Take My Eyes Off You),11-Mar-91,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Jealousy,12-May-91,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,DJ Culture,14-Oct-91,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Compilation albums,Discography: The Complete Singles Collection,4-Nov-91,3,6,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Was It Worth It?,9-Dec-91,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Can You Forgive Her?,1-Jun-93,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Go West,6-Sep-93,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Studio Albums,Very,27-Sep-93,1,2,12,53:10:00,,,,,,,,,,,,,,,,,,,,
Single,I Wouldn't Normally Do This Kind of Thing,29-Nov-93,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Liberation,4-Apr-94,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Absolutely Fabulous,31-May-94,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,"Yesterday, When I Was Mad",29-Aug-94,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Remix albums,Disco 2,12-Sep-94,6,181,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Paninaro '95,24-Jul-95,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Compilation albums,Alternative,7-Aug-95,2,8,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Before,22-Apr-96,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Se a vida é (That's the Way Life Is),12-Aug-96,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Studio Albums,Bilingual,2-Sep-96,4,3,12,53:46:00,,,,,,,,,,,,,,,,,,,,
Single,Single-Bilingual,11-Nov-96,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,A Red Letter Day,17-Mar-97,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Somewhere,23-Jun-97,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Compilation albums,Essential,31-Mar-98,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,I Don't Know What You Want but I Can't Give It Any More,19-Jul-99,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,New York City Boy,22-Sep-99,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Studio Albums,Nightlife,11-Oct-99,7,25,12,71:01:00,,,,,,,,,,,,,,,,,,,,
Single,You Only Tell Me You Love Me When You're Drunk,3-Jan-00,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Compilation albums,Mini,23-Feb-00,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Soundtrack albums,Closer to Heaven,8-Oct-01,107,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Home and Dry,18-Mar-02,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Studio Albums,Release,1-Apr-02,7,62,10,44:53:00,,,,,,,,,,,,,,,,,,,,
Single,I Get Along,15-Jul-02,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Remix albums,Disco 3,3-Feb-03,36,153,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Miracles,17-Nov-03,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Compilation albums,PopArt: The Hits,24-Nov-03,18,193,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Flamboyant,29-Mar-04,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,London,14-Oct-04,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Soundtrack albums,Battleship Potemkin,5-Sep-05,97,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,I'm with Stupid,6-Mar-06,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Studio Albums,Fundamental,22-May-06,5,25,12,48:33:00,,,,,,,,,,,,,,,,,,,,
Single,Minimal,24-Jul-06,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Numb,15-Oct-06,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Live Albums,Concrete,23-Oct-06,61,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Remix albums,Disco 4,8-Oct-07,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Integral,8-Oct-07,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Love Etc.,16-Mar-09,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Studio Albums,Yes,23-Mar-09,4,32,11,48:39:00,,,,,,,,,,,,,,,,,,,,
Single,Did You See Me Coming?,1-Jun-09,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Beautiful People,2-Oct-09,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Compilation albums,Party,5-Nov-09,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
EP,Christmas,14-Dec-09,40,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Live Albums,Pandemonium,15-Feb-10,29,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Love Life,17-Apr-10,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Together,24-Oct-10,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Compilation albums,Ultimate,1-Nov-10,27,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Soundtrack albums,The Most Incredible Thing,14-Mar-11,57,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Compilation albums,Format,6-Feb-12,26,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Winner,3-Jul-12,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Studio Albums,Elysium,10-Sep-12,9,50,12,51:02:00,,,,,,,,,,,,,,,,,,,,
Single,Leaving,12-Oct-12,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Memory of the Future,31-Dec-12,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Axis,1-May-13,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Vocal,3-Jun-13,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Studio Albums,Electric,15-Jul-13,3,24,9,49:12:00,,,,,,,,,,,,,,,,,,,,
Single,Love Is a Bourgeois Construct,2-Sep-13,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Thursday (featuring Example),4-Nov-13,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Inner Sanctum,21-Jan-16,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,The Pop Kids,16-Feb-16,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Studio Albums,Super,1-Apr-16,3,12,12,46:33:00,,,,,,,,,,,,,,,,,,,,
Single,Twenty-Something,1-Jun-16,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Say It to Me,16-Sep-16,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Undertow,21-Apr-17,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
EP,Agenda,8-Feb-19,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Live Albums,Inner Sanctum,12-Apr-19,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Soundtrack albums,Musik,6-Aug-19,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Dreamland (featuring Years & Years),11-Sep-19,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Single,Burning the Heather,13-Dec-19,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
Studio Albums,Hotspot,24-Jan-20,3,8,10,42:16:00,,,,,,,,,,,,,,,,,,,,
Single,Monkey Business,7-Feb-20,,,,69:01:00,,,,,,,,,,,,,,,,,,,,
