col1,col2,col3,col4,col5
         80759: (56.611,84.9096,57.0946) #395539 srgb(22.2004%,33.30%,22.3901%)
         33467: (80.323,142.413,93.732) #508E5E srgb(31.4992%,55.85%,36.7577%)
         23344: (86.925,149.97,152.708) #579699 srgb(34.0882%,58.81%,59.8855%)
         59108: (154.177,100.242,53.794) #9A6436 srgb(60.4614%,39.31%,21.0957%)
         50666: (180.956,183.514,163.395) #B5B8A3 srgb(70.9632%,71.97%,64.0765%)
         86656: (181.852,158.748,83.1301) #B69F53 srgb(71.3144%,62.25%,32.6%)         28427: (25.0143,101.765,83.9935) #196654 srgb(9.80954%,39.908%,32.9386%)
         31627: (27.1654,87.6555,46.9283) #1B582F srgb(10.6531%,34.3747%,18.4032%)
          8314: (78.5463,112.999,140.652) #4F718D srgb(30.8025%,44.3135%,55.1575%)
         21929: (80.323,142.413,93.732) #508E5E srgb(31.4992%,55.8484%,36.7577%)
         35292: (84.1675,75.7434,48.6782) #544C31 srgb(33.0069%,29.7033%,19.0895%)
         16711: (88.7565,158.052,155.343) #599E9B srgb(34.8065%,61.9811%,60.919%)
         29492: (152.8,100.442,41.0861) #996429 srgb(59.9217%,39.3889%,16.1122%)
         17397: (156.221,99.9463,72.6759) #9C6449 srgb(61.2633%,39.1946%,28.5004%)
         40694: (166.887,153.382,94.3198) #A7995E srgb(65.446%,60.1498%,36.9881%)
         23329: (180.562,159.114,45.6358) #B59F2E srgb(70.8087%,62.3977%,17.8964%)
         43264: (180.956,183.514,163.395) #B5B8A3 srgb(70.9632%,71.9661%,64.0765%)
         37524: (205.787,166.679,95.5249) #CEA760 srgb(80.701%,65.3643%,37.4607%)
