col3,filename,order,artist_name,work_name,work_date,number,row_num
#3A4346,sock_knitter.csv,1,Grace Cossington Smith,The sock knitter,1/1/1915,18,1
#5B5361,sock_knitter.csv,2,Grace Cossington Smith,The sock knitter,1/1/1915,18,2
#888A74,sock_knitter.csv,3,Grace Cossington Smith,The sock knitter,1/1/1915,18,3
#8E6C52,sock_knitter.csv,4,Grace Cossington Smith,The sock knitter,1/1/1915,18,4
#BAC0A3,sock_knitter.csv,5,Grace Cossington Smith,The sock knitter,1/1/1915,18,5
#CBCFAE,sock_knitter.csv,6,Grace Cossington Smith,The sock knitter,1/1/1915,18,6
#2A261E,the_reader.csv,1,Grace Cossington Smith,The reader,1/1/1916,17,1
#574E49,the_reader.csv,2,Grace Cossington Smith,The reader,1/1/1916,17,2
#573019,the_reader.csv,3,Grace Cossington Smith,The reader,1/1/1916,17,3
#68551E,the_reader.csv,4,Grace Cossington Smith,The reader,1/1/1916,17,4
#A38058,the_reader.csv,5,Grace Cossington Smith,The reader,1/1/1916,17,5
#CBB998,the_reader.csv,6,Grace Cossington Smith,The reader,1/1/1916,17,6
#292827,troops.csv,1,Grace Cossington Smith,Reinforcements: troops marching,1/1/1917,11,1
#524946,troops.csv,2,Grace Cossington Smith,Reinforcements: troops marching,1/1/1917,11,2
#787D89,troops.csv,3,Grace Cossington Smith,Reinforcements: troops marching,1/1/1917,11,3
#956354,troops.csv,4,Grace Cossington Smith,Reinforcements: troops marching,1/1/1917,11,4
#C0B8AC,troops.csv,5,Grace Cossington Smith,Reinforcements: troops marching,1/1/1917,11,5
#C59D56,troops.csv,6,Grace Cossington Smith,Reinforcements: troops marching,1/1/1917,11,6
#503C29,the_prince.csv,1,Grace Cossington Smith,The prince,1/1/1920,16,1
#897884,the_prince.csv,2,Grace Cossington Smith,The prince,1/1/1920,16,2
#916D47,the_prince.csv,3,Grace Cossington Smith,The prince,1/1/1920,16,3
#A89D8A,the_prince.csv,4,Grace Cossington Smith,The prince,1/1/1920,16,4
#AA8E65,the_prince.csv,5,Grace Cossington Smith,The prince,1/1/1920,16,5
#C0995C,the_prince.csv,6,Grace Cossington Smith,The prince,1/1/1920,16,6
#352912,extravaganza.csv,1,Grace Cossington Smith,Extravaganza,1/1/1921,6,1
#52350C,extravaganza.csv,2,Grace Cossington Smith,Extravaganza,1/1/1921,6,2
#6C4C13,extravaganza.csv,3,Grace Cossington Smith,Extravaganza,1/1/1921,6,3
#966516,extravaganza.csv,4,Grace Cossington Smith,Extravaganza,1/1/1921,6,4
#9F6A46,extravaganza.csv,5,Grace Cossington Smith,Extravaganza,1/1/1921,6,5
#C4964C,extravaganza.csv,6,Grace Cossington Smith,Extravaganza,1/1/1921,6,6
#241F1C,rushing.csv,1,Grace Cossington Smith,Rushing,1/1/1922,12,1
#3D3E40,rushing.csv,2,Grace Cossington Smith,Rushing,1/1/1922,12,2
#493828,rushing.csv,3,Grace Cossington Smith,Rushing,1/1/1922,12,3
#564833,rushing.csv,4,Grace Cossington Smith,Rushing,1/1/1922,12,4
#5A5246,rushing.csv,5,Grace Cossington Smith,Rushing,1/1/1922,12,5
#846E44,rushing.csv,6,Grace Cossington Smith,Rushing,1/1/1922,12,6
#252322,centre_of_city.csv,1,Grace Cossington Smith,Centre of a city,1/1/1925,4,1
#5C4B3A,centre_of_city.csv,2,Grace Cossington Smith,Centre of a city,1/1/1925,4,2
#75A1B4,centre_of_city.csv,3,Grace Cossington Smith,Centre of a city,1/1/1925,4,3
#86866C,centre_of_city.csv,4,Grace Cossington Smith,Centre of a city,1/1/1925,4,4
#8CB3AD,centre_of_city.csv,5,Grace Cossington Smith,Centre of a city,1/1/1925,4,5
#8F623A,centre_of_city.csv,6,Grace Cossington Smith,Centre of a city,1/1/1925,4,6
#1B6355,arum_growing.csv,1,Grace Cossington Smith,Arums growing,1/1/1927,1,1
#324F44,arum_growing.csv,2,Grace Cossington Smith,Arums growing,1/1/1927,1,2
#538E70,arum_growing.csv,3,Grace Cossington Smith,Arums growing,1/1/1927,1,3
#649B8B,arum_growing.csv,4,Grace Cossington Smith,Arums growing,1/1/1927,1,4
#999872,arum_growing.csv,5,Grace Cossington Smith,Arums growing,1/1/1927,1,5
#ADB198,arum_growing.csv,6,Grace Cossington Smith,Arums growing,1/1/1927,1,6
#4F454E,iron_tray.csv,1,Grace Cossington Smith,Things on an iron tray on the floor,1/1/1928,20,1
#7C788B,iron_tray.csv,2,Grace Cossington Smith,Things on an iron tray on the floor,1/1/1928,20,2
#A6A3A2,iron_tray.csv,3,Grace Cossington Smith,Things on an iron tray on the floor,1/1/1928,20,3
#BCA070,iron_tray.csv,4,Grace Cossington Smith,Things on an iron tray on the floor,1/1/1928,20,4
#C5BFB2,iron_tray.csv,5,Grace Cossington Smith,Things on an iron tray on the floor,1/1/1928,20,5
#D5D5CF,iron_tray.csv,6,Grace Cossington Smith,Things on an iron tray on the floor,1/1/1928,20,6
#5A7A90,curve_of_bridge.csv,1,Grace Cossington Smith,The curve of the bridge,1/1/1929,15,1
#5F5350,curve_of_bridge.csv,2,Grace Cossington Smith,The curve of the bridge,1/1/1929,15,2
#6E98B5,curve_of_bridge.csv,3,Grace Cossington Smith,The curve of the bridge,1/1/1929,15,3
#9B6657,curve_of_bridge.csv,4,Grace Cossington Smith,The curve of the bridge,1/1/1929,15,4
#ABAC9F,curve_of_bridge.csv,5,Grace Cossington Smith,The curve of the bridge,1/1/1929,15,5
#BF926B,curve_of_bridge.csv,6,Grace Cossington Smith,The curve of the bridge,1/1/1929,15,6
#596654,wonga_wonga.csv,1,Grace Cossington Smith,"Wonga Wonga Street, Turramurra",1/1/1930,22,1
#7A7D6F,wonga_wonga.csv,2,Grace Cossington Smith,"Wonga Wonga Street, Turramurra",1/1/1930,22,2
#A6A395,wonga_wonga.csv,3,Grace Cossington Smith,"Wonga Wonga Street, Turramurra",1/1/1930,22,3
#AA9A6D,wonga_wonga.csv,4,Grace Cossington Smith,"Wonga Wonga Street, Turramurra",1/1/1930,22,4
#CEBCA9,wonga_wonga.csv,5,Grace Cossington Smith,"Wonga Wonga Street, Turramurra",1/1/1930,22,5
#D4C6B3,wonga_wonga.csv,6,Grace Cossington Smith,"Wonga Wonga Street, Turramurra",1/1/1930,22,6
#215732,landscape_at_pentacost.csv,1,Grace Cossington Smith,Landscape at Pentecost,1/1/1932,10,1
#3E493F,landscape_at_pentacost.csv,2,Grace Cossington Smith,Landscape at Pentecost,1/1/1932,10,2
#595332,landscape_at_pentacost.csv,3,Grace Cossington Smith,Landscape at Pentecost,1/1/1932,10,3
#778A76,landscape_at_pentacost.csv,4,Grace Cossington Smith,Landscape at Pentecost,1/1/1932,10,4
#935B49,landscape_at_pentacost.csv,5,Grace Cossington Smith,Landscape at Pentecost,1/1/1932,10,5
#A7A990,landscape_at_pentacost.csv,6,Grace Cossington Smith,Landscape at Pentecost,1/1/1932,10,6
#564349,lacquer_room.csv,1,Grace Cossington Smith,The Lacquer Room,1/1/1936,14,1
#62978A,lacquer_room.csv,2,Grace Cossington Smith,The Lacquer Room,1/1/1936,14,2
#BC4940,lacquer_room.csv,3,Grace Cossington Smith,The Lacquer Room,1/1/1936,14,3
#C6A164,lacquer_room.csv,4,Grace Cossington Smith,The Lacquer Room,1/1/1936,14,4
#D1C4B6,lacquer_room.csv,5,Grace Cossington Smith,The Lacquer Room,1/1/1936,14,5
#E0D0A9,lacquer_room.csv,6,Grace Cossington Smith,The Lacquer Room,1/1/1936,14,6
#322B24,bonfire_in_bush.csv,1,Grace Cossington Smith,Bonfire in the bush,1/1/1937,2,1
#4A3428,bonfire_in_bush.csv,2,Grace Cossington Smith,Bonfire in the bush,1/1/1937,2,2
#56534C,bonfire_in_bush.csv,3,Grace Cossington Smith,Bonfire in the bush,1/1/1937,2,3
#5B4C2D,bonfire_in_bush.csv,4,Grace Cossington Smith,Bonfire in the bush,1/1/1937,2,4
#8E6B47,bonfire_in_bush.csv,5,Grace Cossington Smith,Bonfire in the bush,1/1/1937,2,5
#B2AE94,bonfire_in_bush.csv,6,Grace Cossington Smith,Bonfire in the bush,1/1/1937,2,6
#475133,wildflowers.csv,1,Grace Cossington Smith,Wildflowers,1/1/1940,21,1
#8D6A45,wildflowers.csv,2,Grace Cossington Smith,Wildflowers,1/1/1940,21,2
#B49E5D,wildflowers.csv,3,Grace Cossington Smith,Wildflowers,1/1/1940,21,3
#BBB5A5,wildflowers.csv,4,Grace Cossington Smith,Wildflowers,1/1/1940,21,4
#DCCEAF,wildflowers.csv,5,Grace Cossington Smith,Wildflowers,1/1/1940,21,5
#E2DCCE,wildflowers.csv,6,Grace Cossington Smith,Wildflowers,1/1/1940,21,6
#5D5B35,gum_blossoms.csv,1,Grace Cossington Smith,Gum blossoms,1/1/1942,8,1
#648F5E,gum_blossoms.csv,2,Grace Cossington Smith,Gum blossoms,1/1/1942,8,2
#AC592D,gum_blossoms.csv,3,Grace Cossington Smith,Gum blossoms,1/1/1942,8,3
#BCA246,gum_blossoms.csv,4,Grace Cossington Smith,Gum blossoms,1/1/1942,8,4
#D1C39E,gum_blossoms.csv,5,Grace Cossington Smith,Gum blossoms,1/1/1942,8,5
#D2AA5C,gum_blossoms.csv,6,Grace Cossington Smith,Gum blossoms,1/1/1942,8,6
#524029,golden_morning.csv,1,Grace Cossington Smith,Golden morning,1/1/1945,7,1
#685528,golden_morning.csv,2,Grace Cossington Smith,Golden morning,1/1/1945,7,2
#708B82,golden_morning.csv,3,Grace Cossington Smith,Golden morning,1/1/1945,7,3
#97683F,golden_morning.csv,4,Grace Cossington Smith,Golden morning,1/1/1945,7,4
