class,family,threatened_status,n
Magnoliopsida,Acanthaceae,Endangered,3
Magnoliopsida,Acanthaceae,Vulnerable,3
Magnoliopsida,Aizoaceae,Extinct,1
Magnoliopsida,Amaranthaceae,Critically Endangered,3
Magnoliopsida,Amaranthaceae,Vulnerable,1
Magnoliopsida,Annonaceae,Endangered,1
Magnoliopsida,Annonaceae,Vulnerable,1
Magnoliopsida,Apiaceae,Critically Endangered,2
Magnoliopsida,Apiaceae,Endangered,3
Magnoliopsida,Apiaceae,Vulnerable,2
Magnoliopsida,Apocynaceae,Critically Endangered,1
Magnoliopsida,Apocynaceae,Endangered,6
Magnoliopsida,Apocynaceae,Vulnerable,5
Magnoliopsida,Araliaceae,Critically Endangered,1
Magnoliopsida,Araliaceae,Endangered,2
Magnoliopsida,Araliaceae,Vulnerable,3
Magnoliopsida,Argophyllaceae,Endangered,1
Magnoliopsida,Asclepiadaceae,Vulnerable,2
Magnoliopsida,Asteraceae,Critically Endangered,2
Magnoliopsida,Asteraceae,Endangered,14
Magnoliopsida,Asteraceae,Extinct,4
Magnoliopsida,Asteraceae,Vulnerable,31
Magnoliopsida,Brassicaceae,Endangered,6
Magnoliopsida,Brassicaceae,Extinct,1
Magnoliopsida,Brassicaceae,Vulnerable,4
Magnoliopsida,Burseraceae,Vulnerable,1
Magnoliopsida,Campanulaceae,Critically Endangered,1
Magnoliopsida,Campanulaceae,Vulnerable,1
Magnoliopsida,Capparaceae,Vulnerable,1
Magnoliopsida,Caryophyllaceae,Endangered,1
Magnoliopsida,Caryophyllaceae,Vulnerable,1
Magnoliopsida,Casuarinaceae,Endangered,6
Magnoliopsida,Casuarinaceae,Vulnerable,3
Magnoliopsida,Celastraceae,Endangered,1
Magnoliopsida,Celastraceae,Vulnerable,4
Magnoliopsida,Chenopodiaceae,Endangered,3
Magnoliopsida,Chenopodiaceae,Vulnerable,7
Magnoliopsida,Clusiaceae,Vulnerable,1
Magnoliopsida,Combretaceae,Vulnerable,1
Magnoliopsida,Convolvulaceae,Critically Endangered,1
Magnoliopsida,Corynocarpaceae,Vulnerable,1
Magnoliopsida,Cucurbitaceae,Endangered,1
Magnoliopsida,Cunoniaceae,Endangered,2
Magnoliopsida,Cunoniaceae,Vulnerable,1
Magnoliopsida,Dilleniaceae,Critically Endangered,8
Magnoliopsida,Dilleniaceae,Endangered,4
Magnoliopsida,Dilleniaceae,Vulnerable,4
Magnoliopsida,Droseraceae,Vulnerable,2
Magnoliopsida,Ebenaceae,Endangered,1
Magnoliopsida,Elaeocarpaceae,Critically Endangered,2
Magnoliopsida,Elaeocarpaceae,Endangered,5
Magnoliopsida,Elaeocarpaceae,Extinct,1
Magnoliopsida,Elaeocarpaceae,Vulnerable,3
Magnoliopsida,Epacridaceae,Critically Endangered,5
Magnoliopsida,Epacridaceae,Endangered,10
Magnoliopsida,Epacridaceae,Extinct,2
Magnoliopsida,Epacridaceae,Vulnerable,3
Magnoliopsida,Ericaceae,Critically Endangered,4
Magnoliopsida,Ericaceae,Endangered,9
Magnoliopsida,Ericaceae,Vulnerable,2
Magnoliopsida,Erythroxylaceae,Vulnerable,1
Magnoliopsida,Eucryphiaceae,Vulnerable,1
Magnoliopsida,Euphorbiaceae,Critically Endangered,3
Magnoliopsida,Euphorbiaceae,Endangered,9
Magnoliopsida,Euphorbiaceae,Extinct,1
Magnoliopsida,Euphorbiaceae,Vulnerable,17
Magnoliopsida,Fabaceae,Critically Endangered,20
Magnoliopsida,Fabaceae,Endangered,63
Magnoliopsida,Fabaceae,Extinct,3
Magnoliopsida,Fabaceae,Vulnerable,64
Magnoliopsida,Frankeniaceae,Endangered,3
Magnoliopsida,Frankeniaceae,Extinct,1
Magnoliopsida,Gentianaceae,Critically Endangered,2
Magnoliopsida,Gentianaceae,Endangered,2
Magnoliopsida,Geraniaceae,Endangered,1
Magnoliopsida,Goodeniaceae,Critically Endangered,1
Magnoliopsida,Goodeniaceae,Endangered,3
Magnoliopsida,Goodeniaceae,Vulnerable,5
Magnoliopsida,Gyrostemonaceae,Critically Endangered,1
Magnoliopsida,Gyrostemonaceae,Vulnerable,1
Magnoliopsida,Haloragaceae,Critically Endangered,1
Magnoliopsida,Haloragaceae,Endangered,3
