         17209: (48.4929,43.3695,21.304) #302B15 srgb(19.0168%,17.0077%,8.35452%)
         14900: (54.0498,71.6207,38.2181) #364826 srgb(21.196%,28.0866%,14.9875%)
         23483: (80.5065,51.9894,24.2214) #513418 srgb(31.5712%,20.388%,9.4986%)
         48373: (101.364,87.1333,38.5655) #655727 srgb(39.7507%,34.1699%,15.1237%)
         23109: (109.939,101.845,75.9536) #6E664C srgb(43.1133%,39.9392%,29.7857%)
          1932: (119.592,131.19,100.304) #788364 srgb(46.8987%,51.4472%,39.3347%)
         23140: (139.558,109.576,42.0142) #8C6E2A srgb(54.7285%,42.9709%,16.4761%)
         24884: (142.072,117.073,79.8856) #8E7550 srgb(55.7144%,45.9111%,31.3277%)
          2233: (151.819,67.1667,36.2536) #984324 srgb(59.5368%,26.3399%,14.2171%)
         48092: (164.628,147.271,99.5175) #A59364 srgb(64.5599%,57.7534%,39.0265%)
         15244: (174.358,151.639,61.0786) #AE983D srgb(68.3757%,59.4664%,23.9524%)
         25977: (177.463,167.935,145.941) #B1A892 srgb(69.5935%,65.8569%,57.2317%)
         31413: (198.621,183.923,152.815) #C7B899 srgb(77.8905%,72.1265%,59.9273%)
         23866: (209.105,199.376,174.556) #D1C7AF srgb(82.0018%,78.1867%,68.4534%)
          3773: (211.434,207.803,193.615) #D3D0C2 srgb(82.9153%,81.4912%,75.9274%)
          8872: (214.498,200.823,159.092) #D6C99F srgb(84.117%,78.7539%,62.389%)
