         38901: (26.5561,76.6168,105.763) #1B4D6A srgb(10.4141%,30.0458%,41.4758%)
         25094: (36.629,78.9903,97.7867) #254F62 srgb(14.3643%,30.9766%,38.3477%)
         28400: (47.9915,45.1874,45.2448) #302D2D srgb(18.8202%,17.7205%,17.7431%)
         17752: (58.878,60.8998,78.0682) #3B3D4E srgb(23.0894%,23.8823%,30.615%)
         27704: (80.3767,57.6144,44.3047) #503A2C srgb(31.5203%,22.5939%,17.3744%)
         46429: (90.9874,83.0871,97.1635) #5B5361 srgb(35.6813%,32.5832%,38.1033%)
          8437: (91.0265,113.61,124.181) #5B727C srgb(35.6967%,44.5531%,48.6983%)
         38367: (94.1396,74.1404,49.3575) #5E4A31 srgb(36.9175%,29.0747%,19.3559%)
         47777: (141.709,109.693,83.7269) #8E6E54 srgb(55.5721%,43.0169%,32.8341%)
          2829: (145.358,79.2774,50.7855) #914F33 srgb(57.003%,31.0892%,19.9159%)
         12670: (164.231,153.342,110.498) #A4996E srgb(64.4044%,60.134%,43.3325%)
         22534: (173.904,178.986,148.723) #AEB395 srgb(68.1978%,70.1907%,58.3226%)
         26646: (185.224,198.218,169.64) #B9C6AA srgb(72.6367%,77.7326%,66.5256%)
         25783: (201.065,200.723,155.759) #C9C99C srgb(78.8488%,78.7149%,61.0818%)
         65668: (202.886,208.049,175.791) #CBD0B0 srgb(79.5629%,81.5879%,68.9377%)
          3609: (207.677,203.026,176.444) #D0CBB0 srgb(81.442%,79.6181%,69.1936%)
